key,name,threat_type,criticality,status,impact,likelihood,risk_level,pos_x,pos_y,width,height
dg_admin_portal_0108_th_man_in_the_middle_3_5ff8aa,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0108_th_spoofing_4_463378,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0109_th_elevation_of_privilege_1_046edb,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0109_th_information_disclosure_2_1327cc,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0109_th_spoofing_3_7bd830,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0110_th_elevation_of_privilege_1_a80223,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0110_th_information_disclosure_2_cd823e,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0110_th_spoofing_3_bd4b3f,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0111_th_elevation_of_privilege_1_5ee695,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0111_th_information_disclosure_2_ae330c,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0111_th_man_in_the_middle_3_8e8de0,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0111_th_spoofing_4_7c2a53,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0112_th_elevation_of_privilege_1_d104a9,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0112_th_information_disclosure_2_c54dfb,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0112_th_spoofing_3_bf8ee7,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0113_th_elevation_of_privilege_1_bbb98b,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0113_th_information_disclosure_2_9de392,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0113_th_spoofing_3_33e873,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0114_th_elevation_of_privilege_1_a850b5,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0114_th_information_disclosure_2_5556a6,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0114_th_man_in_the_middle_3_ef96af,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0114_th_spoofing_4_37465c,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0115_th_elevation_of_privilege_1_5199c4,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0115_th_information_disclosure_2_ca7f4a,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0115_th_spoofing_3_58b475,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0116_th_elevation_of_privilege_1_5e2d6e,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0116_th_information_disclosure_2_e190a1,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0116_th_spoofing_3_be2c17,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0117_th_elevation_of_privilege_1_ada237,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0117_th_information_disclosure_2_928007,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0117_th_man_in_the_middle_3_061788,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0117_th_spoofing_4_9f30d9,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0118_th_elevation_of_privilege_1_53d129,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0118_th_information_disclosure_2_9da2b5,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0118_th_spoofing_3_c79cab,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0119_th_elevation_of_privilege_1_71c5f9,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0119_th_information_disclosure_2_60174a,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0119_th_man_in_the_middle_3_b1a927,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0119_th_spoofing_4_e73b69,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0120_th_information_disclosure_1_2f175b,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0120_th_man_in_the_middle_2_5596d6,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0151_th_elevation_of_privilege_1_42d99f,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0151_th_information_disclosure_2_3b8548,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0151_th_spoofing_3_0e3b27,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0151_th_sql_injection_4_b1794d,sql_injection,sql_injection,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0151_th_tampering_5_fb820d,tampering,tampering,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0152_th_elevation_of_privilege_1_c7fff8,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0152_th_information_disclosure_2_64a4ef,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0152_th_spoofing_3_70a210,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0153_th_elevation_of_privilege_1_929a9f,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0153_th_information_disclosure_2_f1e49c,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0153_th_spoofing_3_4d5ee4,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0154_th_elevation_of_privilege_1_14fa29,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0154_th_information_disclosure_2_beed35,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0154_th_spoofing_3_7b598f,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0155_th_elevation_of_privilege_1_df51da,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0155_th_information_disclosure_2_d8487f,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0155_th_man_in_the_middle_3_778350,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0155_th_spoofing_4_b07e20,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0156_th_elevation_of_privilege_1_dbb18b,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0156_th_information_disclosure_2_00b439,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0156_th_spoofing_3_7750f3,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0157_th_elevation_of_privilege_1_3a9d52,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0157_th_information_disclosure_2_b0ae73,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0157_th_spoofing_3_7cba34,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0158_th_elevation_of_privilege_1_34d8fc,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0158_th_information_disclosure_2_420ab6,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0158_th_man_in_the_middle_3_8503f0,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0158_th_spoofing_4_1e8ad0,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0159_th_elevation_of_privilege_1_f252db,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0159_th_information_disclosure_2_54fdc4,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0159_th_spoofing_3_78744d,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0159_th_sql_injection_4_8c95cb,sql_injection,sql_injection,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0159_th_tampering_5_bebfa3,tampering,tampering,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0160_th_elevation_of_privilege_1_ad78e7,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0160_th_information_disclosure_2_b587de,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0160_th_man_in_the_middle_3_ca3b7a,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0160_th_spoofing_4_ab09fb,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0161_th_elevation_of_privilege_1_d6fcfa,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0161_th_information_disclosure_2_2b4b6b,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0161_th_spoofing_3_b1aad2,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0161_th_sql_injection_4_20509d,sql_injection,sql_injection,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0161_th_tampering_5_fa71a3,tampering,tampering,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0162_th_elevation_of_privilege_1_9b26c7,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0162_th_information_disclosure_2_a8d5fc,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0162_th_man_in_the_middle_3_23948b,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0162_th_spoofing_4_e7587b,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0163_th_elevation_of_privilege_1_4b59e7,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0163_th_information_disclosure_2_6bbb22,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0163_th_spoofing_3_4c38f0,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0164_th_elevation_of_privilege_1_609f8b,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0164_th_information_disclosure_2_e862eb,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0164_th_man_in_the_middle_3_d67b55,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0164_th_spoofing_4_75fc30,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0165_th_elevation_of_privilege_1_d9bde2,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0165_th_information_disclosure_2_bffca0,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0165_th_spoofing_3_1171af,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0166_th_elevation_of_privilege_1_5cee5d,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0166_th_information_disclosure_2_71124d,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0166_th_spoofing_3_f04c63,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0167_th_elevation_of_privilege_1_ff8292,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0167_th_information_disclosure_2_eaa4d1,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0167_th_man_in_the_middle_3_716bbd,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0167_th_spoofing_4_a10b5a,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0168_th_elevation_of_privilege_1_557782,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0168_th_information_disclosure_2_99f025,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0168_th_spoofing_3_020f34,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0169_th_elevation_of_privilege_1_26f10f,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0169_th_information_disclosure_2_43eef4,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0169_th_man_in_the_middle_3_837d2f,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0169_th_spoofing_4_54ac87,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0170_th_elevation_of_privilege_1_713b1b,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0170_th_information_disclosure_2_2ea56b,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0170_th_spoofing_3_8e9519,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0170_th_sql_injection_4_133ecb,sql_injection,sql_injection,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0170_th_tampering_5_a1a74d,tampering,tampering,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0171_th_elevation_of_privilege_1_16c3ac,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0171_th_information_disclosure_2_4e65c3,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0171_th_spoofing_3_405f0a,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0172_th_elevation_of_privilege_1_413cd8,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0172_th_information_disclosure_2_5baa95,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0172_th_spoofing_3_0b560f,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0174_th_information_disclosure_1_a25566,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0174_th_man_in_the_middle_2_3d0c7b,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0176_th_elevation_of_privilege_1_925951,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0176_th_information_disclosure_2_21c026,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0176_th_man_in_the_middle_3_e27422,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0176_th_spoofing_4_e7f580,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0177_th_elevation_of_privilege_1_b45b83,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0177_th_information_disclosure_2_e78b84,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0177_th_man_in_the_middle_3_d70411,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0177_th_spoofing_4_e06e88,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0178_th_elevation_of_privilege_1_a493a1,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0178_th_information_disclosure_2_28bc2e,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0178_th_spoofing_3_6806a3,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0179_th_elevation_of_privilege_1_7453bb,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0179_th_information_disclosure_2_240c17,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0179_th_spoofing_3_ceb14e,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0180_th_elevation_of_privilege_1_eaa3c6,elevation_of_privilege,elevation_of_privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0180_th_information_disclosure_2_f7aaea,information_disclosure,information_disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0180_th_man_in_the_middle_3_3a0501,man_in_the_middle,man_in_the_middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_admin_portal_0180_th_spoofing_4_71e07b,spoofing,spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0001_th_elevation_of_privilege_1_3eedeb,Elevation of Privilege,Elevation of Privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0001_th_information_disclosure_2_44a85c,Information Disclosure,Information Disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0001_th_man-in-the-middle_3_c7ac2c,Man-in-the-Middle,Man-in-the-Middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0001_th_sql_injection_4_3812d1,SQL Injection,SQL Injection,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0001_th_spoofing_5_f206d7,Spoofing,Spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0001_th_tampering_6_692314,Tampering,Tampering,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0002_th_elevation_of_privilege_1_03e15b,Elevation of Privilege,Elevation of Privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0002_th_information_disclosure_2_41a2d3,Information Disclosure,Information Disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0002_th_sql_injection_3_87ab35,SQL Injection,SQL Injection,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0002_th_spoofing_4_71c86d,Spoofing,Spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0002_th_tampering_5_1676b9,Tampering,Tampering,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0003_th_information_disclosure_1_914e60,Information Disclosure,Information Disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0003_th_malware_upload_2_68428e,Malware Upload,Malware Upload,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0003_th_man-in-the-middle_3_86a954,Man-in-the-Middle,Man-in-the-Middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0003_th_tampering_4_afefa7,Tampering,Tampering,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0004_th_information_disclosure_1_2006f5,Information Disclosure,Information Disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0004_th_malware_upload_2_dde9ea,Malware Upload,Malware Upload,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0004_th_man-in-the-middle_3_e28cfa,Man-in-the-Middle,Man-in-the-Middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0004_th_tampering_4_960ffe,Tampering,Tampering,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0005_th_information_disclosure_1_e0da82,Information Disclosure,Information Disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0005_th_man-in-the-middle_2_cf4c35,Man-in-the-Middle,Man-in-the-Middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0006_th_information_disclosure_1_618188,Information Disclosure,Information Disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0006_th_malware_upload_2_79d9ab,Malware Upload,Malware Upload,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0006_th_man-in-the-middle_3_2ee5d0,Man-in-the-Middle,Man-in-the-Middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0006_th_tampering_4_2b4f87,Tampering,Tampering,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0007_th_information_disclosure_1_b2ceb7,Information Disclosure,Information Disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0007_th_man-in-the-middle_2_21933e,Man-in-the-Middle,Man-in-the-Middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0008_th_information_disclosure_1_430f43,Information Disclosure,Information Disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0008_th_malware_upload_2_20e34d,Malware Upload,Malware Upload,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0008_th_man-in-the-middle_3_bd74c1,Man-in-the-Middle,Man-in-the-Middle,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0008_th_tampering_4_de9f17,Tampering,Tampering,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0009_th_elevation_of_privilege_1_cbce58,Elevation of Privilege,Elevation of Privilege,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0009_th_information_disclosure_2_fb7de3,Information Disclosure,Information Disclosure,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0009_th_sql_injection_3_eed3ac,SQL Injection,SQL Injection,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0009_th_spoofing_4_8088ab,Spoofing,Spoofing,high,identified,,,,0.0,0.0,160.0,80.0
dg_df_0009_th_tampering_5_8690dc,Tampering,Tampering,high,identified,,,,0.0,0.0,160.0,80.0
