key,type,name,description,zone,owner,criticality,dfd_level,pos_x,pos_y,width,height
dg_admin_portal_0106_E1,ExternalEntity,Admin NR,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0106_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0106_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0106_D1,DataStore,Logs BZ,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0107_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0107_P1,Process,Admin Portal SF,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0107_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0107_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0108_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0108_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0108_P2,Process,Audit Service XN,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0108_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0109_E1,ExternalEntity,Admin UU,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0109_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0109_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0109_D1,DataStore,Logs FJ,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0110_E1,ExternalEntity,Admin HS,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0110_P1,Process,Admin Portal XZ,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0110_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0110_D1,DataStore,Logs YX,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0111_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0111_P1,Process,Admin Portal RR,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0111_P2,Process,Audit Service,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0111_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0112_E1,ExternalEntity,Admin OM,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0112_P1,Process,Admin Portal,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0112_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0112_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0113_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0113_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0113_P2,Process,Audit Service TJ,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0113_D1,DataStore,Logs KL,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0114_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0114_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0114_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0114_D1,DataStore,Logs,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0115_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0115_P1,Process,Admin Portal,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0115_P2,Process,Audit Service IH,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0115_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0116_E1,ExternalEntity,Admin CP,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0116_P1,Process,Admin Portal NF,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0116_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0116_D1,DataStore,Logs FL,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0117_E1,ExternalEntity,Admin WF,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0117_P1,Process,Admin Portal IT,,vendor,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0117_P2,Process,Audit Service XL,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0117_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0118_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0118_P1,Process,Admin Portal UD,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0118_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0118_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0119_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0119_P1,Process,Admin Portal,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0119_P2,Process,Audit Service DR,,dmz,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0119_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0120_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0120_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0120_P2,Process,Audit Service WW,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0120_D1,DataStore,Logs QS,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0151_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0151_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0151_P2,Process,Audit Service AH,,dmz,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0151_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0152_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0152_P1,Process,Admin Portal TO,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0152_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0152_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0153_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0153_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0153_P2,Process,Audit Service HK,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0153_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0154_E1,ExternalEntity,Admin IR,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0154_P1,Process,Admin Portal JV,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0154_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0154_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0155_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0155_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0155_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0155_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0156_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0156_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0156_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0156_D1,DataStore,Logs FZ,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0157_E1,ExternalEntity,Admin,,vendor,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0157_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0157_P2,Process,Audit Service KD,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0157_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0158_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0158_P1,Process,Admin Portal OY,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0158_P2,Process,Audit Service,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0158_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0159_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0159_P1,Process,Admin Portal,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0159_P2,Process,Audit Service,,dmz,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0159_D1,DataStore,Logs KZ,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0160_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0160_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0160_P2,Process,Audit Service,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0160_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0161_E1,ExternalEntity,Admin,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0161_P1,Process,Admin Portal NE,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0161_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0161_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0162_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0162_P1,Process,Admin Portal,,vendor,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0162_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0162_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0163_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0163_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0163_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0163_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0164_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0164_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0164_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0164_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0165_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0165_P1,Process,Admin Portal SP,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0165_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0165_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0166_E1,ExternalEntity,Admin JU,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0166_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0166_P2,Process,Audit Service BH,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0166_D1,DataStore,Logs,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0167_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0167_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0167_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0167_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0168_E1,ExternalEntity,Admin LY,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0168_P1,Process,Admin Portal CU,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0168_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0168_D1,DataStore,Logs MN,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0169_E1,ExternalEntity,Admin TQ,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0169_P1,Process,Admin Portal HN,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0169_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0169_D1,DataStore,Logs CY,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0170_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0170_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0170_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0170_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0171_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0171_P1,Process,Admin Portal,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0171_P2,Process,Audit Service MV,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0171_D1,DataStore,Logs ON,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0172_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0172_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0172_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0172_D1,DataStore,Logs,,vendor,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0173_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0173_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0173_P2,Process,Audit Service YL,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0173_D1,DataStore,Logs CA,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0174_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0174_P1,Process,Admin Portal,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0174_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0174_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0175_E1,ExternalEntity,Admin LA,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0175_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0175_P2,Process,Audit Service YO,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0175_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0176_E1,ExternalEntity,Admin UM,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0176_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0176_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0176_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0177_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0177_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0177_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0177_D1,DataStore,Logs UG,,vendor,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0178_E1,ExternalEntity,Admin RK,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0178_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0178_P2,Process,Audit Service UJ,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0178_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0179_E1,ExternalEntity,Admin AA,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0179_P1,Process,Admin Portal CL,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0179_P2,Process,Audit Service FA,,vendor,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0179_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0180_E1,ExternalEntity,Admin UJ,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0180_P1,Process,Admin Portal YG,,app,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0180_P2,Process,Audit Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_admin_portal_0180_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0001_E1,ExternalEntity,User HF,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0001_P1,Process,Auth Service,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0001_D1,DataStore,User DB KA,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0002_E1,ExternalEntity,User,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0002_P1,Process,Order Service YI,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0002_P2,Process,Payment Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0002_D1,DataStore,Orders DB BL,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0003_E1,ExternalEntity,User JR,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0003_P1,Process,File Service,,dmz,,medium,1,0.0,0.0,180.0,100.0
dg_df_0003_D1,DataStore,Blob Storage,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0004_E1,ExternalEntity,User MX,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0004_P1,Process,File Service DT,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0004_D1,DataStore,Blob Storage,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0005_E1,ExternalEntity,Device Agent,,vendor,,medium,1,0.0,0.0,180.0,100.0
dg_df_0005_P1,Process,API Gateway,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0005_P2,Process,ETL Worker,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0005_D1,DataStore,Metrics DB QC,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0006_E1,ExternalEntity,User GO,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0006_P1,Process,File Service,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0006_D1,DataStore,Blob Storage,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0007_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0007_P1,Process,Admin Portal AO,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0007_P2,Process,API Gateway SB,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0007_D1,DataStore,Logs,,dmz,,medium,1,0.0,0.0,180.0,100.0
dg_df_0008_E1,ExternalEntity,User,,dmz,,medium,1,0.0,0.0,180.0,100.0
dg_df_0008_P1,Process,File Service LK,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0008_D1,DataStore,Blob Storage YL,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0009_E1,ExternalEntity,Device Agent UL,,vendor,,medium,1,0.0,0.0,180.0,100.0
dg_df_0009_P1,Process,API Gateway,,dmz,,medium,1,0.0,0.0,180.0,100.0
dg_df_0009_P2,Process,ETL Worker,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0009_D1,DataStore,Metrics DB HZ,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0010_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0010_P1,Process,Admin Portal RI,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0010_P2,Process,API Gateway QL,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0010_D1,DataStore,Logs,,vendor,,medium,1,0.0,0.0,180.0,100.0
dg_df_0011_E1,ExternalEntity,User,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0011_P1,Process,Auth Service,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0011_D1,DataStore,User DB HF,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0012_E1,ExternalEntity,User,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0012_P1,Process,Order Service,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0012_P2,Process,Payment Service,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0012_D1,DataStore,Orders DB,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0013_E1,ExternalEntity,User,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0013_P1,Process,Order Service,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0013_P2,Process,Payment Service TI,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0013_D1,DataStore,Orders DB,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0014_E1,ExternalEntity,User,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0014_P1,Process,File Service,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0014_D1,DataStore,Blob Storage AW,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0015_E1,ExternalEntity,Admin,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0015_P1,Process,Admin Portal,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0015_P2,Process,API Gateway RI,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0015_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0016_E1,ExternalEntity,User,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0016_P1,Process,Order Service,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0016_P2,Process,Payment Service,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0016_D1,DataStore,Orders DB,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0017_E1,ExternalEntity,User,,internet,,medium,1,0.0,0.0,180.0,100.0
dg_df_0017_P1,Process,Auth Service,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0017_D1,DataStore,User DB,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0018_E1,ExternalEntity,Admin,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0018_P1,Process,Admin Portal,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0018_P2,Process,API Gateway,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0018_D1,DataStore,Logs,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0019_E1,ExternalEntity,Device Agent MB,,vendor,,medium,1,0.0,0.0,180.0,100.0
dg_df_0019_P1,Process,API Gateway,,dmz,,medium,1,0.0,0.0,180.0,100.0
dg_df_0019_P2,Process,ETL Worker,,vendor,,medium,1,0.0,0.0,180.0,100.0
dg_df_0019_D1,DataStore,Metrics DB,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0020_E1,ExternalEntity,Device Agent,,vendor,,medium,1,0.0,0.0,180.0,100.0
dg_df_0020_P1,Process,API Gateway LW,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0020_P2,Process,ETL Worker,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0020_D1,DataStore,Metrics DB TJ,,internal,,medium,1,0.0,0.0,180.0,100.0
dg_df_0021_E1,ExternalEntity,User,,vendor,,medium,1,0.0,0.0,180.0,100.0
dg_df_0021_P1,Process,File Service,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0021_D1,DataStore,Blob Storage,,app,,medium,1,0.0,0.0,180.0,100.0
dg_df_0022_E1,ExternalEntity,User,,internet,,medium,1,0.0,0.0,180.0,100.0
