from_key,to_key,label,description,payload_schema,protocol,method,frequency,pii,confidentiality,integrity,availability,auth_required,encryption_in_transit
dg_admin_portal_0114_P2,dg_admin_portal_0114_P1,F2,,,HTTP,,,0,high,medium,medium,0,0
dg_admin_portal_0114_P2,dg_admin_portal_0114_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0115_E1,dg_admin_portal_0115_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0115_P2,dg_admin_portal_0115_P1,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0115_P1,dg_admin_portal_0115_D1,F3,,,NoSQL,,,0,medium,medium,medium,0,0
dg_admin_portal_0116_E1,dg_admin_portal_0116_P2,F1,,,HTTPS,,,0,high,medium,medium,1,1
dg_admin_portal_0116_P1,dg_admin_portal_0116_P1,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0116_P2,dg_admin_portal_0116_D1,F3,,,NoSQL,,,1,medium,medium,medium,0,0
dg_admin_portal_0117_E1,dg_admin_portal_0117_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0117_P2,dg_admin_portal_0117_P1,F2,,,HTTP,,,1,high,medium,medium,0,0
dg_admin_portal_0117_P1,dg_admin_portal_0117_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0118_E1,dg_admin_portal_0118_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0118_P2,dg_admin_portal_0118_P2,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0118_P1,dg_admin_portal_0118_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0119_E1,dg_admin_portal_0119_P1,F1,,,HTTPS,,,1,medium,medium,medium,1,1
dg_admin_portal_0119_P1,dg_admin_portal_0119_P2,F2,,,HTTP,,,0,high,medium,medium,0,0
dg_admin_portal_0119_P1,dg_admin_portal_0119_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0120_E1,dg_admin_portal_0120_P1,F1,,,HTTPS,,,0,high,medium,medium,1,1
dg_admin_portal_0120_P1,dg_admin_portal_0120_P1,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0120_P1,dg_admin_portal_0120_D1,F3,,,WebSocket,,,0,high,medium,medium,0,0
dg_admin_portal_0151_E1,dg_admin_portal_0151_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0151_P2,dg_admin_portal_0151_P1,F2,,,SQL,,,0,high,medium,medium,0,0
dg_admin_portal_0151_P1,dg_admin_portal_0151_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0152_E1,dg_admin_portal_0152_P1,F1,,,HTTPS,,,1,medium,medium,medium,1,1
dg_admin_portal_0152_P1,dg_admin_portal_0152_P2,F2,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0152_P1,dg_admin_portal_0152_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0153_E1,dg_admin_portal_0153_P2,F1,,,NoSQL,,,1,medium,medium,medium,0,0
dg_admin_portal_0153_P1,dg_admin_portal_0153_P1,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0153_P1,dg_admin_portal_0153_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0154_E1,dg_admin_portal_0154_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0154_P1,dg_admin_portal_0154_P1,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0154_P1,dg_admin_portal_0154_D1,F3,,,HTTPS,,,0,high,medium,medium,1,1
dg_admin_portal_0155_E1,dg_admin_portal_0155_P1,F1,,,AMQP,,,1,high,medium,medium,0,0
dg_admin_portal_0155_P2,dg_admin_portal_0155_P1,F2,,,HTTP,,,0,high,medium,medium,0,0
dg_admin_portal_0155_P1,dg_admin_portal_0155_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0156_E1,dg_admin_portal_0156_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0156_P2,dg_admin_portal_0156_P2,F2,,,HTTP,,,1,medium,medium,medium,0,0
dg_admin_portal_0156_P2,dg_admin_portal_0156_D1,F3,,,NoSQL,,,0,medium,medium,medium,0,0
dg_admin_portal_0157_E1,dg_admin_portal_0157_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0157_P2,dg_admin_portal_0157_P2,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0157_P1,dg_admin_portal_0157_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0158_E1,dg_admin_portal_0158_P2,F1,,,HTTPS,,,1,medium,medium,medium,1,1
dg_admin_portal_0158_P2,dg_admin_portal_0158_P1,F2,,,HTTP,,,1,high,medium,medium,0,0
dg_admin_portal_0158_P1,dg_admin_portal_0158_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0159_E1,dg_admin_portal_0159_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0159_P1,dg_admin_portal_0159_P1,F2,,,SQL,,,0,medium,medium,medium,0,0
dg_admin_portal_0159_P2,dg_admin_portal_0159_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0160_E1,dg_admin_portal_0160_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0160_P1,dg_admin_portal_0160_P2,F2,,,HTTP,,,0,high,medium,medium,0,0
dg_admin_portal_0160_P1,dg_admin_portal_0160_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0161_E1,dg_admin_portal_0161_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0161_P1,dg_admin_portal_0161_P2,F2,,,S3,,,0,high,medium,medium,0,0
dg_admin_portal_0161_P1,dg_admin_portal_0161_D1,F3,,,SQL,,,0,high,medium,medium,0,0
dg_admin_portal_0162_E1,dg_admin_portal_0162_P1,F1,,,HTTPS,,,0,high,medium,medium,1,1
dg_admin_portal_0162_P1,dg_admin_portal_0162_P2,F2,,,HTTP,,,0,high,medium,medium,0,0
dg_admin_portal_0162_P2,dg_admin_portal_0162_D1,F3,,,NoSQL,,,1,medium,medium,medium,0,0
dg_admin_portal_0163_E1,dg_admin_portal_0163_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0163_P1,dg_admin_portal_0163_P1,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0163_P1,dg_admin_portal_0163_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0164_E1,dg_admin_portal_0164_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0164_P2,dg_admin_portal_0164_P1,F2,,,HTTP,,,0,high,medium,medium,0,0
dg_admin_portal_0164_P1,dg_admin_portal_0164_D1,F3,,,NoSQL,,,1,high,medium,medium,0,0
dg_admin_portal_0165_E1,dg_admin_portal_0165_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0165_P2,dg_admin_portal_0165_P2,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0165_P1,dg_admin_portal_0165_D1,F3,,,NoSQL,,,1,high,medium,medium,0,0
dg_admin_portal_0166_E1,dg_admin_portal_0166_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0166_P1,dg_admin_portal_0166_P1,F2,,,S3,,,0,medium,medium,medium,0,0
dg_admin_portal_0166_P2,dg_admin_portal_0166_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0167_E1,dg_admin_portal_0167_P2,F1,,,gRPC,,,1,high,medium,medium,0,0
dg_admin_portal_0167_P1,dg_admin_portal_0167_P2,F2,,,HTTP,,,0,high,medium,medium,0,0
dg_admin_portal_0167_P1,dg_admin_portal_0167_D1,F3,,,HTTPS,,,0,high,medium,medium,1,1
dg_admin_portal_0168_E1,dg_admin_portal_0168_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0168_P1,dg_admin_portal_0168_P1,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0168_P1,dg_admin_portal_0168_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0169_E1,dg_admin_portal_0169_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0169_P2,dg_admin_portal_0169_P1,F2,,,HTTP,,,0,high,medium,medium,0,0
dg_admin_portal_0169_P1,dg_admin_portal_0169_D1,F3,,,S3,,,0,high,medium,medium,0,0
dg_admin_portal_0170_E1,dg_admin_portal_0170_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0170_P2,dg_admin_portal_0170_P1,F2,,,SQL,,,1,high,medium,medium,0,0
dg_admin_portal_0170_P2,dg_admin_portal_0170_D1,F3,,,NoSQL,,,0,medium,medium,medium,0,0
dg_admin_portal_0171_E1,dg_admin_portal_0171_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0171_P2,dg_admin_portal_0171_P2,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0171_P1,dg_admin_portal_0171_D1,F3,,,NoSQL,,,0,medium,medium,medium,0,0
dg_admin_portal_0172_E1,dg_admin_portal_0172_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0172_P1,dg_admin_portal_0172_P2,F2,,,SSH,,,1,high,medium,medium,1,1
dg_admin_portal_0172_P2,dg_admin_portal_0172_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0173_E1,dg_admin_portal_0173_P1,F1,,,HTTPS,,,0,high,medium,medium,1,1
dg_admin_portal_0173_P1,dg_admin_portal_0173_P1,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0173_P2,dg_admin_portal_0173_D1,F3,,,NoSQL,,,0,medium,medium,medium,0,0
dg_admin_portal_0174_E1,dg_admin_portal_0174_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_admin_portal_0174_P2,dg_admin_portal_0174_P1,F2,,,SSH,,,0,medium,medium,medium,1,1
dg_admin_portal_0174_P2,dg_admin_portal_0174_D1,F3,,,NoSQL,,,0,medium,medium,medium,0,0
dg_admin_portal_0175_E1,dg_admin_portal_0175_P2,F1,,,HTTPS,,,0,medium,medium,medium,1,1
dg_admin_portal_0175_P2,dg_admin_portal_0175_P2,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0175_P1,dg_admin_portal_0175_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0176_E1,dg_admin_portal_0176_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0176_P1,dg_admin_portal_0176_P2,F2,,,HTTP,,,0,high,medium,medium,0,0
dg_admin_portal_0176_P2,dg_admin_portal_0176_D1,F3,,,NoSQL,,,0,medium,medium,medium,0,0
dg_admin_portal_0177_E1,dg_admin_portal_0177_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0177_P1,dg_admin_portal_0177_P2,F2,,,HTTP,,,0,high,medium,medium,0,0
dg_admin_portal_0177_P2,dg_admin_portal_0177_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0178_E1,dg_admin_portal_0178_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0178_P2,dg_admin_portal_0178_P2,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0178_P2,dg_admin_portal_0178_D1,F3,,,NoSQL,,,0,medium,medium,medium,0,0
dg_admin_portal_0179_E1,dg_admin_portal_0179_P1,F1,,,gRPC,,,1,high,medium,medium,0,0
dg_admin_portal_0179_P1,dg_admin_portal_0179_P1,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_admin_portal_0179_P2,dg_admin_portal_0179_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_admin_portal_0180_E1,dg_admin_portal_0180_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_admin_portal_0180_P1,dg_admin_portal_0180_P2,F2,,,HTTP,,,1,high,medium,medium,0,0
dg_admin_portal_0180_P1,dg_admin_portal_0180_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_df_0001_E1,dg_df_0001_P1,F1,,,HTTP,,,1,high,medium,medium,0,0
dg_df_0001_P1,dg_df_0001_D1,F2,,,SQL,,,1,medium,medium,medium,0,0
dg_df_0002_E1,dg_df_0002_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_df_0002_P2,dg_df_0002_P1,F2,,,gRPC,,,1,high,medium,medium,0,0
dg_df_0002_P2,dg_df_0002_D1,F3,,,SQL,,,1,medium,medium,medium,0,0
dg_df_0003_E1,dg_df_0003_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0003_P1,dg_df_0003_D1,F2,,,S3,,,0,high,medium,medium,0,0
dg_df_0004_E1,dg_df_0004_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0004_P1,dg_df_0004_D1,F2,,,S3,,,0,high,medium,medium,0,0
dg_df_0005_E1,dg_df_0005_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0005_P2,dg_df_0005_P1,F2,,,AMQP,,,0,high,medium,medium,0,0
dg_df_0005_P2,dg_df_0005_D1,F3,,,gRPC,,,0,medium,medium,medium,0,0
dg_df_0006_E1,dg_df_0006_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0006_P1,dg_df_0006_D1,F2,,,S3,,,0,high,medium,medium,0,0
dg_df_0007_E1,dg_df_0007_P2,F1,,,HTTPS,,,0,medium,medium,medium,1,1
dg_df_0007_P2,dg_df_0007_P1,F2,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0007_P1,dg_df_0007_D1,F3,,,SSH,,,0,high,medium,medium,1,1
dg_df_0008_E1,dg_df_0008_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0008_P1,dg_df_0008_D1,F2,,,S3,,,0,high,medium,medium,0,0
dg_df_0009_E1,dg_df_0009_P2,F1,,,SQL,,,0,high,medium,medium,0,0
dg_df_0009_P1,dg_df_0009_P1,F2,,,AMQP,,,1,medium,medium,medium,0,0
dg_df_0009_P1,dg_df_0009_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_df_0010_E1,dg_df_0010_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_df_0010_P1,dg_df_0010_P2,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_df_0010_P2,dg_df_0010_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_df_0011_E1,dg_df_0011_P1,F1,,,HTTP,,,1,high,medium,medium,0,0
dg_df_0011_P1,dg_df_0011_D1,F2,,,SQL,,,1,medium,medium,medium,0,0
dg_df_0012_E1,dg_df_0012_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_df_0012_P1,dg_df_0012_P2,F2,,,WebSocket,,,1,high,medium,medium,0,0
dg_df_0012_P1,dg_df_0012_D1,F3,,,SQL,,,1,high,medium,medium,0,0
dg_df_0013_E1,dg_df_0013_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_df_0013_P1,dg_df_0013_P2,F2,,,gRPC,,,1,high,medium,medium,0,0
dg_df_0013_P2,dg_df_0013_D1,F3,,,SQL,,,1,medium,medium,medium,0,0
dg_df_0014_E1,dg_df_0014_P1,F1,,,SSH,,,0,high,medium,medium,1,1
dg_df_0014_P1,dg_df_0014_D1,F2,,,S3,,,0,high,medium,medium,0,0
dg_df_0015_E1,dg_df_0015_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_df_0015_P2,dg_df_0015_P1,F2,,,SSH,,,0,high,medium,medium,1,1
dg_df_0015_P1,dg_df_0015_D1,F3,,,NoSQL,,,0,medium,medium,medium,0,0
dg_df_0016_E1,dg_df_0016_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_df_0016_P1,dg_df_0016_P1,F2,,,AMQP,,,1,medium,medium,medium,0,0
dg_df_0016_P1,dg_df_0016_D1,F3,,,SQL,,,1,high,medium,medium,0,0
dg_df_0017_E1,dg_df_0017_P1,F1,,,SQL,,,1,high,medium,medium,0,0
dg_df_0017_P1,dg_df_0017_D1,F2,,,SQL,,,1,medium,medium,medium,0,0
dg_df_0018_E1,dg_df_0018_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_df_0018_P1,dg_df_0018_P2,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_df_0018_P1,dg_df_0018_D1,F3,,,SSH,,,0,high,medium,medium,1,1
dg_df_0019_E1,dg_df_0019_P2,F1,,,HTTP,,,0,medium,medium,medium,0,0
dg_df_0019_P2,dg_df_0019_P1,F2,,,AMQP,,,0,high,medium,medium,0,0
dg_df_0019_P2,dg_df_0019_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_df_0020_E1,dg_df_0020_P2,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0020_P1,dg_df_0020_P2,F2,,,AMQP,,,0,high,medium,medium,0,0
dg_df_0020_P1,dg_df_0020_D1,F3,,,NoSQL,,,1,high,medium,medium,0,0
dg_df_0021_E1,dg_df_0021_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0021_P1,dg_df_0021_D1,F2,,,S3,,,0,medium,medium,medium,0,0
dg_df_0022_E1,dg_df_0022_P1,F1,,,HTTP,,,1,high,medium,medium,0,0
dg_df_0022_P1,dg_df_0022_D1,F2,,,SSH,,,1,medium,medium,medium,1,1
dg_df_0023_E1,dg_df_0023_P2,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0023_P1,dg_df_0023_P2,F2,,,AMQP,,,0,high,medium,medium,0,0
dg_df_0023_P2,dg_df_0023_D1,F3,,,NoSQL,,,0,medium,medium,medium,0,0
dg_df_0024_E1,dg_df_0024_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0024_P1,dg_df_0024_D1,F2,,,S3,,,0,high,medium,medium,0,0
dg_df_0025_E1,dg_df_0025_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0025_P1,dg_df_0025_D1,F2,,,S3,,,0,high,medium,medium,0,0
dg_df_0026_E1,dg_df_0026_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0026_P1,dg_df_0026_P2,F2,,,AMQP,,,0,high,medium,medium,0,0
dg_df_0026_P2,dg_df_0026_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_df_0027_E1,dg_df_0027_P2,F1,,,AMQP,,,1,high,medium,medium,0,0
dg_df_0027_P2,dg_df_0027_P1,F2,,,gRPC,,,0,medium,medium,medium,0,0
dg_df_0027_P2,dg_df_0027_D1,F3,,,WebSocket,,,0,high,medium,medium,0,0
dg_df_0028_E1,dg_df_0028_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0028_P1,dg_df_0028_D1,F2,,,SSH,,,0,high,medium,medium,1,1
dg_df_0029_E1,dg_df_0029_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0029_P1,dg_df_0029_D1,F2,,,S3,,,0,high,medium,medium,0,0
dg_df_0030_E1,dg_df_0030_P1,F1,,,AMQP,,,0,high,medium,medium,0,0
dg_df_0030_P1,dg_df_0030_D1,F2,,,S3,,,1,high,medium,medium,0,0
dg_df_0031_E1,dg_df_0031_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0031_P1,dg_df_0031_D1,F2,,,S3,,,0,high,medium,medium,0,0
dg_df_0032_E1,dg_df_0032_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_df_0032_P2,dg_df_0032_P1,F2,,,gRPC,,,0,high,medium,medium,0,0
dg_df_0032_P2,dg_df_0032_D1,F3,,,SQL,,,1,medium,medium,medium,0,0
dg_df_0033_E1,dg_df_0033_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0033_P2,dg_df_0033_P1,F2,,,AMQP,,,0,high,medium,medium,0,0
dg_df_0033_P1,dg_df_0033_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_df_0034_E1,dg_df_0034_P2,F1,,,HTTPS,,,0,high,medium,medium,1,1
dg_df_0034_P2,dg_df_0034_P1,F2,,,S3,,,0,medium,medium,medium,0,0
dg_df_0034_P2,dg_df_0034_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_df_0035_E1,dg_df_0035_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0035_P1,dg_df_0035_D1,F2,,,S3,,,1,high,medium,medium,0,0
dg_df_0036_E1,dg_df_0036_P1,F1,,,HTTP,,,1,high,medium,medium,0,0
dg_df_0036_P1,dg_df_0036_D1,F2,,,SQL,,,1,high,medium,medium,0,0
dg_df_0037_E1,dg_df_0037_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0037_P2,dg_df_0037_P1,F2,,,AMQP,,,0,high,medium,medium,0,0
dg_df_0037_P2,dg_df_0037_D1,F3,,,NoSQL,,,1,medium,medium,medium,0,0
dg_df_0038_E1,dg_df_0038_P2,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0038_P2,dg_df_0038_P1,F2,,,AMQP,,,0,high,medium,medium,0,0
dg_df_0038_P2,dg_df_0038_D1,F3,,,NoSQL,,,0,medium,medium,medium,0,0
dg_df_0039_E1,dg_df_0039_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0039_P1,dg_df_0039_P2,F2,,,AMQP,,,1,high,medium,medium,0,0
dg_df_0039_P1,dg_df_0039_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_df_0040_E1,dg_df_0040_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0040_P1,dg_df_0040_D1,F2,,,SQL,,,1,high,medium,medium,0,0
dg_df_0041_E1,dg_df_0041_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_df_0041_P2,dg_df_0041_P2,F2,,,HTTP,,,0,medium,medium,medium,0,0
dg_df_0041_P2,dg_df_0041_D1,F3,,,NoSQL,,,0,high,medium,medium,0,0
dg_df_0042_E1,dg_df_0042_P1,F1,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0042_P1,dg_df_0042_D1,F2,,,S3,,,0,high,medium,medium,0,0
dg_df_0043_E1,dg_df_0043_P1,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_df_0043_P2,dg_df_0043_P2,F2,,,gRPC,,,0,medium,medium,medium,0,0
dg_df_0043_P2,dg_df_0043_D1,F3,,,HTTP,,,0,high,medium,medium,0,0
dg_df_0044_E1,dg_df_0044_P2,F1,,,HTTPS,,,1,high,medium,medium,1,1
dg_df_0044_P2,dg_df_0044_P2,F2,,,SSH,,,0,medium,medium,medium,1,1
